images,area,band,sat
1,108757,5,S1
1,111014,6,S1
1,107172,7,S1
1,113376,8,S1
1,95333,5,S1
1,95204,6,S1
1,93805,7,S1
1,100988,8,S1
1,94957,5,S2
1,91382,6,S2
1,92211,7,S2
1,90596,5,S2
1,87902,6,S2
1,86099,7,S2
1,93258,8,S2
1,93934,5,S2
1,93784,6,S2
1,94320,7,S2
2,90489,5,S1
2,90529,6,S1
2,90724,7,S1
2,100879,8,S1
2,87566,5,S1
2,86116,6,S1
2,85870,7,S1
2,88206,8,S1
2,87566,5,S2
2,86116,6,S2
2,85870,7,S2
2,88206,8,S2
2,81116,5,S2
2,82847,6,S2
2,80709,7,S2
2,82740,8,S2
2,83069,5,S2
2,85878,6,S2
2,83141,7,S2
2,86352,8,S2
3,78650,5,S1
3,81712,6,S1
3,79033,7,S1
3,80513,8,S1
3,99256,5,S1
3,109455,6,S1
3,90441,7,S1
3,88559,8,S1
3,137300,6,S2
3,120067,7,S2
3,120565,8,S2
3,99230,5,S2
3,102152,6,S2
3,95125,7,S2
3,95403,8,S2
3,78274,5,S2
3,76455,6,S2
3,75664,7,S2
3,79140,8,S2
3,80675,5,S2
3,79429,6,S2
3,78079,7,S2
3,80026,8,S2
4,79300,5,S1
4,78631,6,S1
4,77253,7,S1
4,78003,8,S1
4,78193,5,S1
4,79111,6,S1
4,77428,7,S1
4,78645,8,S1
4,105101,5,S2
4,104688,6,S2
4,108693,7,S2
4,108681,8,S2
5,206837,5,S2
5,208099,6,S2
5,214555,7,S2
5,212108,8,S2
5,201197,5,S2
5,192213,6,S2
5,183913,7,S2
5,191397,8,S2
5,246425,5,S2
5,247048,6,S2
5,234483,7,S2
5,241256,8,S2
7,201197,5,S1
7,192213,6,S1
7,183913,7,S1
7,191397,8,S1
7,181169,5,S2
7,185747,6,S2
7,174270,7,S2
7,182298,8,S2
9,187299,5,S1
9,189163,6,S1
9,179789,7,S1
9,183140,8,S1
9,139336,5,S2
9,142705,6,S2
9,133148,7,S2
9,136470,8,S2
9,105612,5,S2
9,106098,6,S2
9,103548,7,S2
9,111262,8,S2
10,107219,5,S1
10,110353,6,S1
10,103802,7,S1
10,109517,8,S1
10,87656,5,S2
10,87407,6,S2
10,86392,7,S2
10,89415,8,S2
10,83590,5,S2
10,83589,6,S2
10,82559,7,S2
10,86506,8,S2
11,80327,5,S1
11,82169,6,S1
11,81428,7,S1
11,84701,8,S1
11,74250,5,S2
11,75442,6,S2
11,75728,7,S2
11,76880,8,S2
12,64613,5,S1
12,64418,6,S1
12,67528,7,S1
12,69016,8,S1
12,75729,6,S2
12,74333,7,S2
12,73697,8,S2
12,112206,6,S2
12,120404,7,S2
12,118595,8,S2
12,156549,7,S2
12,146544,8,S2
1,73292,5,S1
1,71458,6,S1
1,73562,7,S1
1,77133,8,S1
1,73349,5,S1
1,72491,6,S1
1,74397,7,S1
1,81528,8,S1
2,71030,5,S1
2,71275,6,S1
2,68440,7,S1
2,70658,8,S1
3,108896,5,S1
3,96779,6,S1
3,80590,7,S1
3,79837,8,S1
3,98740,5,S1
3,94605,6,S1
3,83158,7,S1
3,80383,8,S1
3,78540,7,S2
3,81739,8,S2
4,70145,5,S1
4,66677,6,S1
4,59027,7,S1
4,59199,8,S1
4,68184,5,S1
4,64701,6,S1
4,57835,7,S1
4,56676,8,S1
5,162650,5,S1
5,158292,6,S1
5,109550,7,S1
5,96392,8,S1
8,221285,5,S1
8,187520,6,S1
8,190091,7,S1
8,185558,8,S1
10,188323,5,S1
10,197594,6,S1
10,178770,7,S1
10,186373,8,S1
10,194506,6,S2
10,194311,7,S2
10,187878,8,S2
11,161227,5,S1
11,155011,6,S1
11,143373,7,S1
11,154181,8,S1
11,126253,5,S1
11,125435,6,S1
11,120037,7,S1
11,125651,8,S1
11,203842,5,S2
11,214555,6,S2
11,197779,7,S2
11,206868,8,S2
11,176394,5,S2
11,186834,6,S2
11,167353,7,S2
11,178254,8,S2
12,104129,5,S1
12,100497,6,S1
12,97048,7,S1
12,104406,8,S1
12,88007,5,S1
12,87720,6,S1
12,85876,7,S1
12,89974,8,S1
12,155679,5,S2
12,154205,6,S2
12,141077,7,S2
12,150618,8,S2
12,127594,5,S2
12,126012,6,S2
12,121017,7,S2
12,127730,8,S2
12,112257,5,S2
12,116634,6,S2
12,108677,7,S2
12,119629,8,S2
12,105896,5,S2
12,103770,6,S2
12,99297,7,S2
12,107506,8,S2
1,78549,5,S1
1,77504,6,S1
1,78928,7,S1
1,82057,8,S1
1,78094,5,S1
1,77422,6,S1
1,76825,7,S1
1,80184,8,S1
1,106707,5,S2
1,106805,6,S2
1,101818,7,S2
1,108884,8,S2
1,92597,5,S2
1,92125,6,S2
1,90849,7,S2
1,93986,8,S2
1,84297,5,S2
1,83903,6,S2
1,82347,7,S2
1,84401,8,S2
2,73667,5,S1
2,72587,6,S1
2,72773,7,S1
2,73934,8,S1
2,71186,7,S1
2,69582,8,S1
2,81167,5,S2
2,81500,6,S2
2,81608,7,S2
2,87016,8,S2
3,66540,5,S1
3,68333,6,S1
3,63163,7,S1
3,65396,8,S1
3,77541,5,S2
3,76520,6,S2
3,77352,7,S2
3,77974,8,S2
3,73916,5,S2
3,74100,6,S2
3,74682,7,S2
3,78353,8,S2
3,72180,5,S2
3,72579,6,S2
3,72360,7,S2
3,73399,8,S2
4,70127,5,S1
4,67445,6,S1
4,65726,7,S1
4,65292,8,S1
4,73363,6,S1
4,64332,7,S1
4,64936,8,S1
4,70091,5,S2
4,70429,6,S2
4,67312,7,S2
4,71412,8,S2
4,64090,5,S2
4,63563,6,S2
4,63194,7,S2
4,65122,8,S2
5,73336,7,S1
5,72149,8,S1
5,64323,6,S2
5,57527,7,S2
5,58179,8,S2
6,75984,7,S2
6,70487,8,S2
7,67775,5,S2
7,66052,6,S2
7,64706,7,S2
7,64710,8,S2
7,67775,5,S2
7,66052,6,S2
7,64706,7,S2
7,64710,8,S2
9,82310,5,S2
9,70096,6,S2
9,64407,7,S2
9,65751,8,S2
9,90165,5,S2
9,82723,6,S2
9,78476,7,S2
9,80464,8,S2
11,91104,5,S1
11,93852,6,S1
11,94937,7,S1
11,94968,8,S1
11,95722,5,S2
11,99102,6,S2
11,97222,7,S2
11,99722,8,S2
11,90683,5,S2
11,92116,6,S2
11,91389,7,S2
11,92329,8,S2
12,72993,5,S1
12,73901,6,S1
12,75190,7,S1
12,73712,8,S1
12,84452,5,S2
12,84434,6,S2
12,84640,7,S2
12,82914,8,S2
12,77745,5,S2
12,82774,6,S2
12,84174,7,S2
12,77003,8,S2
12,71341,5,S2
12,72792,6,S2
12,73783,7,S2
12,72066,8,S2